województwo,ogółem,rolnicy/współmałżonkowie,domownicy
OGÓŁEM,66214,60349,5865
dolnośląskie,2870,2607,263
kujawsko-pomorskie,2987,2805,182
lubelskie,8026,7585,441
lubuskie,1091,989,102
łódzkie,5883,5416,467
małopolskie,7101,6070,1031
mazowieckie,8894,8301,593
opolskie,1812,1585,227
podkarpackie,5098,4716,382
podlaskie,3637,3324,313
pomorskie,2092,1851,241
śląskie,2899,2646,253
świętokrzyskie,3108,2898,210
warmińsko-mazurskie,1936,1805,131
wielkopolskie,7199,6256,943
zachodniopomorskie,1581,1495,86
