województwo,Ogółem W MARCU 2025 ROKU,rolnicy prowadzący działalność rolniczą w gospodarstwach rolnych poniżej 6 ha,domownicy rolników pracujący w gospodarstwach rolnych poniżej 6 ha przelicz,rolnicy prowadzący działalność rolniczą w gospodarstwach rolnych 6 ha i więcej,domownicy pracujący w gospodarstwach rolnych 6 ha i więcej,rolnicy prowadzący gospodarstwo rolne i dział specjalny produkcji rolnej, rolnicy prowadzący wyłącznie działy specjalne produkcji rolnej ,domownicy rolników pracujący wyłącznie w działach specjalnych produkcji rolnej ,pomocnicy rolników ,emeryci i renciści,członkowie rodzin rolników i domowników ,członkowie rodzin emerytów i rencistów 
Ogółem,1929877,504079,86861,310820,47347,9394,2498,156,4779,963943,441525,26850
dolnośląskie,68804,14917,2557,12495,2157,326,120,7,251,35974,11548,675
kujawsko-pomorskie,116896,15981,1753,28347,3579,412,117,6,124,66577,22267,1840
lubelskie,244066,64985,7088,44247,4770,469,43,0,650,121814,55069,3563
lubuskie,23373,5173,857,4001,726,215,89,8,46,12258,4274,319
łódzkie,158906,41377,5168,25230,3544,849,137,7,748,81846,30605,1260
małopolskie,202336,78014,26180,9649,1740,633,114,5,178,85823,65209,3991
mazowieckie,286565,71360,8493,48375,5852,1437,250,17,1399,149382,60693,3381
opolskie,40067,8340,1591,9073,1690,194,61,10,19,19089,9888,292
podkarpackie,123961,53164,8256,6806,1028,372,47,5,18,54265,33828,1902
podlaskie,136105,30693,4443,26607,5087,351,41,1,185,68697,33179,2289
pomorskie,64545,15626,3462,10551,2084,399,128,11,110,32174,16867,955
śląskie,53139,15925,2750,5745,987,746,288,18,146,26534,10084,574
świętokrzyskie,106495,33163,4267,14905,1579,205,46,5,64,52261,23334,1322
warmińsko-mazurskie,68981,11404,1411,17473,3000,491,133,3,25,35041,14904,1163
wielkopolskie,196100,35966,7688,38859,8297,2077,769,42,668,101734,42715,2867
zachodniopomorskie,39538,7991,897,8457,1227,218,115,11,148,20474,7061,457
