wojew¢dztwo,Og¢ˆem W MARCU 2025 ROKU,"rolnicy prowadz¥cy dziaˆalno˜† rolnicz¥ 
w gospodarstwach rolnych poni¾ej 6 ha przelicz.1)","domownicy rolnik¢w pracuj¥cy w gospodarstwach rolnych poni¾ej 
6 ha przelicz.1)",rolnicy prowadz¥cy dziaˆalno˜† rolnicz¥ w gospodarstwach rolnych 6 ha przelicz. i wi©cej,domownicy pracuj¥cy w gospodarstwach rolnych 6 ha przelicz. i wi©cej,rolnicy prowadz¥cy gospodarstwo rolne i dziaˆ specjalny produkcji rolnej 2),rolnicy prowadz¥cy wyˆ¥cznie dziaˆy specjalne produkcji rolnej 2),domownicy rolnik¢w pracuj¥cy wyˆ¥cznie w dziaˆach specjalnych produkcji rolnej 2),pomocnicy rolnik¢w 3),"emeryci 
i renci˜ci","czˆonkowie rodzin 
rolnik¢w 
i 
domownik¢w 4)","czˆonkowie rodzin emeryt¢w 
i rencist¢w 4)"
Og¢ˆem,1 929 877,504 079,86 861,310 820,47 347,9 394,2 498,156,4 779,963 943,441 525,26 850
dolno˜l¥skie,68 804,14 917,2 557,12 495,2 157,326,120,7,251,35 974,11 548,675
kujawsko-pomorskie,116 896,15 981,1 753,28 347,3 579,412,117,6,124,66 577,22 267,1 840
lubelskie,244 066,64 985,7 088,44 247,4 770,469,43,0,650,121 814,55 069,3 563
lubuskie,23 373,5 173,857,4 001,726,215,89,8,46,12 258,4 274,319
ˆ¢dzkie,158 906,41 377,5 168,25 230,3 544,849,137,7,748,81 846,30 605,1 260
maˆopolskie,202 336,78 014,26 180,9 649,1 740,633,114,5,178,85 823,65 209,3 991
mazowieckie,286 565,71 360,8 493,48 375,5 852,1 437,250,17,1 399,149 382,60 693,3 381
opolskie,40 067,8 340,1 591,9 073,1 690,194,61,10,19,19 089,9 888,292
podkarpackie,123 961,53 164,8 256,6 806,1 028,372,47,5,18,54 265,33 828,1 902
podlaskie,136 105,30 693,4 443,26 607,5 087,351,41,1,185,68 697,33 179,2 289
pomorskie,64 545,15 626,3 462,10 551,2 084,399,128,11,110,32 174,16 867,955
˜l¥skie,53 139,15 925,2 750,5 745,987,746,288,18,146,26 534,10 084,574
˜wi©tokrzyskie,106 495,33 163,4 267,14 905,1 579,205,46,5,64,52 261,23 334,1 322
warmiäsko-mazurskie,68 981,11 404,1 411,17 473,3 000,491,133,3,25,35 041,14 904,1 163
wielkopolskie,196 100,35 966,7 688,38 859,8 297,2 077,769,42,668,101 734,42 715,2 867
zachodniopomorskie,39 538,7 991,897,8 457,1 227,218,115,11,148,20 474,7 061,457
