wojew¢dztwo,"—wiadczenia rolne 
wypˆacane z FER",—wiadczenia realizowane przez KRUS og¢ˆem
dolno˜l¥skie,2 080.05,2 228.08
kujawsko-pomorskie,2 142.83,2 213.26
lubelskie,2 092.48,2 185.80
lubuskie,2 030.23,2 301.14
ˆ¢dzkie,2 115.03,2 188.07
maˆopolskie,2 043.20,2 116.70
mazowieckie,2 105.94,2 163.80
opolskie,2 117.12,2 212.24
podkarpackie,2 069.69,2 150.19
podlaskie,2 123.92,2 182.08
pomorskie,2 115.66,2 215.84
˜l¥skie,2 020.23,2 275.19
˜wi©tokrzyskie,2 085.43,2 162.15
warmiäsko-mazurskie,2 131.28,2 226.29
wielkopolskie,2 050.89,2 132.56
zachodniopomorskie,2 116.58,2 253.25
MON,1 064.55,1 064.55
MSWiA,913.98,913.98
MS,835.64,835.64
