wojew¢dztwo;Liczba wniosk¢w pozostaàych z poprzedniego okresu;Liczba zarejestrowanych wniosk¢w;Liczba zaàatwionych wniosk¢w;Liczba wniosk¢w pozostaàych do zaàatwienia w nast©pnym okresie;okres;;;;;;;
OG‡ùEM;11 296;91 839;79 889;23 246;2025-Q1;;;;;;;
dolnoòl•skie;198;2 829;2 699;328;2025-Q1;;;;;;;
kujawsko-pomorskie;978;6 144;4 814;2 308;2025-Q1;;;;;;;
lubelskie;1 298;11 551;10 301;2 548;2025-Q1;;;;;;;
lubuskie;138;886;866;158;2025-Q1;;;;;;;
à¢dzkie;801;8 434;6 743;2 492;2025-Q1;;;;;;;
maàopolskie;1 471;6 510;6 045;1 936;2025-Q1;;;;;;;
mazowieckie;1 391;14 845;12 402;3 834;2025-Q1;;;;;;;
opolskie;162;1 724;1 367;519;2025-Q1;;;;;;;
podkarpackie;754;4 690;4 127;1 317;2025-Q1;;;;;;;
podlaskie;915;9 371;8 726;1 560;2025-Q1;;;;;;;
pomorskie;520;2 850;2 345;1 025;2025-Q1;;                   ;;;;;
òl•skie;277;1 930;1 732;475;2025-Q1;;;;;;;
òwi©tokrzyskie;670;4 719;4 023;1 366;2025-Q1;;;;;;;
warmi‰sko-mazurskie;498;3 705;3 462;741;2025-Q1;;;;;;;
wielkopolskie;1 096;9 644;8 633;2 107;2025-Q1;;;;;;;
zachodniopomorskie;129;2 007;1 604;532;2025-Q1;;;;;;;TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDùUG WOJEW‡DZTW
