typ;Liczba wydanych decyzji Og¢àem;Liczba wydanych decyzji ostatecznych Razem;"Liczba wydanych decyzji ostatecznych Pàatne pro rata temporis 
";Liczba wydanych decyzji ostatecznych  Pàatne  na podstawie tylko polskich okres¢w ubezpieczenia;Liczba wydanych decyzji decyzji tymczasowych;Decyzji odmownych;;;;;;;
OG‡ùEM;1184;840;283;557;215;129;;;;;;;
Emerytury razem;549;328;131;197;131;90;;;;;;;
Renty razem, z tego:;635;512;152;360;84;39;;;;;;;
    Renty z tytuàu niezdolnoòci do pracy razem;469;359;113;246;77;33;;;;;;;
"        w tym renty z tytuàu niezdolnoòci do pracy
        wypadkowe";12;7; -    ;7;2;3;;;;;;;
    Renty rodzinne;166;153;39;114;7;6;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;                   
